Complaint_ID,Complaint_Text,Category,Severity,Date,Status
CF-150047,"voltage problem, near park",Electricity,Low,2025-07-18 15:34:17,Closed
CF-150048,"voltage fluctuation, in slum area",Electricity,High,2025-01-13 21:12:30,Resolved
CF-150049,"load enhancement, in our locality",Electricity,Low,2024-11-11 13:16:35,Pending
CF-150050,"flooding, near hospital",Water Supply,High,2024-12-28 20:23:05,In Progress
CF-150051,"drainage choke, in market area",Waste-Water/Sewage,High,2024-06-30 15:00:40,Pending
CF-150052,"solar setup, near hospital",Electricity,Low,2024-09-30 05:47:46,Closed
CF-150053,"bill correction, in colony",Electricity,Low,2024-08-15 07:15:58,Resolved
CF-150054,"quality test, near hospital",Water Supply,Low,2024-08-16 00:51:41,Closed
CF-150055,"power backup, near temple",Electricity,Low,2024-03-12 10:09:45,Resolved
CF-150056,"cleaning schedule, near railway station",Waste-Water/Sewage,Low,2024-01-29 04:11:58,Resolved
CF-150057,"bill correction, in apartment complex",Electricity,Low,2025-09-02 15:49:19,Resolved
CF-150058,"collection missed, in gated community",Waste-Water/Sewage,Low,2024-04-28 14:01:28,Closed
CF-150059,"bill correction, in industrial zone",Electricity,Low,2024-01-02 18:55:46,Closed
CF-150060,"bad smell, in industrial zone, urgent attention required",Waste-Water/Sewage,High,2025-11-11 12:01:19,Resolved
CF-150061,"main leak, in old city",Water Supply,High,2025-11-13 14:52:08,In Progress
CF-150062,"bill correction, in slum area",Water Supply,Low,2024-07-15 15:18:28,Closed
CF-150063,"no water pump, in old city",Water Supply,High,2024-01-01 11:03:49,In Progress
CF-150064,"low voltage, near railway station",Electricity,Low,2025-04-21 16:05:05,Resolved
CF-150065,"waste accumulation, in colony",Waste-Water/Sewage,High,2024-06-22 23:59:16,Pending
CF-150066,"new connection, near hospital",Water Supply,Low,2025-11-19 11:18:07,Pending
CF-150067,"no electricity, in our locality, urgent attention required",Electricity,High,2025-05-01 22:15:20,Pending
CF-150068,"tariff inquiry, near school",Water Supply,Low,2025-12-14 13:58:48,Resolved
CF-150069,"contaminated water, in residential area",Water Supply,High,2024-04-19 15:28:44,Pending
CF-150070,"bill correction, near hospital",Electricity,Low,2024-05-04 16:37:09,Pending
CF-150071,"meter reading, near park",Water Supply,Low,2025-09-19 18:22:42,Resolved
CF-150072,"more bins, in market area",Waste-Water/Sewage,Low,2025-05-01 16:23:11,Resolved
CF-150073,"duplicate bill, in colony",Electricity,Low,2025-10-03 08:42:38,Resolved
CF-150074,"pipeline broken, in old city, urgent attention required",Water Supply,High,2024-12-09 11:38:24,Resolved
CF-150075,"fire hazard, near hospital",Electricity,High,2024-06-05 07:47:23,Pending
CF-150076,"pressure low, near park",Water Supply,Low,2025-03-01 02:16:01,Pending
CF-150077,"tariff inquiry, in residential area",Water Supply,Low,2025-08-12 13:50:57,Resolved
CF-150078,"connection shift, near bus stand",Electricity,Low,2025-03-05 19:35:45,Closed
CF-150079,"garbage heap, near hospital, urgent attention required",Waste-Water/Sewage,High,2025-05-12 01:03:24,In Progress
CF-150080,"pressure issue, in market area",Water Supply,Low,2025-04-23 04:38:48,Closed
CF-150081,"mosquito breeding, in residential area, urgent attention required",Waste-Water/Sewage,High,2025-03-14 04:56:26,In Progress
CF-150082,"dangerous transformer, near bus stand",Electricity,High,2025-04-10 11:54:00,In Progress
CF-150083,"meter reading, in industrial zone",Water Supply,Low,2024-09-15 02:58:55,Resolved
CF-150084,"high voltage, near hospital",Electricity,High,2025-10-29 01:27:56,Pending
CF-150085,"no electricity, in slum area, urgent attention required",Electricity,High,2025-04-29 04:09:53,Resolved
CF-150086,"payment issue, in commercial area",Electricity,Low,2024-06-20 22:03:35,Closed
CF-150087,"sewage backup, in old city, urgent attention required",Waste-Water/Sewage,High,2024-01-27 11:21:28,Resolved
CF-150088,"collection missed, near school",Waste-Water/Sewage,Low,2024-03-18 21:33:27,Closed
CF-150089,"garbage piling, in old city",Waste-Water/Sewage,High,2025-09-06 04:24:26,Resolved
CF-150090,"payment not reflected, in industrial zone",Electricity,Low,2025-11-08 13:29:31,Pending
CF-150091,"garbage collection, in industrial zone",Waste-Water/Sewage,Low,2025-05-16 03:50:33,Resolved
CF-150092,"pressure issue, in slum area",Water Supply,Low,2025-03-21 06:24:46,Closed
CF-150093,"awareness needed, in colony",Waste-Water/Sewage,Low,2025-04-21 15:51:31,Closed
CF-150094,"bin location, near hospital",Waste-Water/Sewage,Low,2024-03-29 10:09:19,Resolved
CF-150095,"low voltage, near bus stand",Electricity,Low,2024-12-10 01:02:41,Resolved
CF-150096," contaminated supply, near school",Water Supply,High,2024-09-21 12:23:28,In Progress
CF-150097,"waste segregation, in residential area",Waste-Water/Sewage,Low,2025-06-13 06:57:22,Pending
CF-150098,"bill dispute, near hospital",Electricity,Low,2025-12-08 17:20:02,Closed
CF-150099,"recycling bin, in residential area",Waste-Water/Sewage,Low,2024-04-05 10:42:46,Pending
CF-150100,"drinking water unsafe, in commercial area",Water Supply,High,2025-06-27 12:30:56,In Progress
CF-150101,"bin location, near park",Waste-Water/Sewage,Low,2024-10-04 11:09:49,Resolved
CF-150102,"power surge, near railway station, urgent attention required",Electricity,High,2025-07-02 06:44:27,Pending
CF-150103,"payment issue, in gated community",Electricity,Low,2025-09-03 10:18:13,Pending
CF-150104,"billing query, in commercial area",Electricity,Low,2024-07-02 11:00:18,Pending
CF-150105,"garbage not collected, in our locality",Waste-Water/Sewage,High,2025-07-20 10:38:10,Resolved
CF-150106,"name transfer, in residential area",Electricity,Low,2025-08-10 10:21:08,Resolved
CF-150107,"pressure low, in market area",Water Supply,Low,2024-02-22 09:11:32,Resolved
CF-150108,"electrical danger, in colony, urgent attention required",Electricity,High,2025-10-06 01:57:06,Pending
CF-150109,"new connection, near hospital",Electricity,Low,2024-05-01 20:19:07,Resolved
CF-150110,"waste accumulation, near bus stand",Waste-Water/Sewage,High,2025-03-29 10:49:34,Resolved
CF-150111,"name change, in our locality",Water Supply,Low,2025-09-16 03:36:46,Pending
CF-150112,"garbage not collected, in neighborhood, urgent attention required",Waste-Water/Sewage,High,2024-06-26 20:05:50,Pending
CF-150113,"transformer burnt, near park",Electricity,High,2025-04-26 10:36:15,Pending
CF-150114,"connection shift, near park",Electricity,Low,2024-03-13 08:29:55,Resolved
CF-150115,"rodent infestation, in apartment complex",Waste-Water/Sewage,High,2025-10-25 05:25:28,In Progress
CF-150116,"complete darkness, in market area",Electricity,High,2025-09-01 20:43:27,In Progress
CF-150117,"emergency supply, in old city",Water Supply,High,2024-10-05 18:13:17,Resolved
CF-150118,"new connection, in our locality",Water Supply,Low,2025-03-18 11:44:07,Closed
CF-150119,"pipeline burst, near hospital",Water Supply,High,2025-08-12 21:22:35,Pending
CF-150120,"awareness needed, in our locality",Waste-Water/Sewage,Low,2024-06-28 17:07:49,Closed
CF-150121,"more bins, near temple",Waste-Water/Sewage,Low,2024-07-04 21:18:40,Resolved
CF-150122,"bin replacement, in colony",Waste-Water/Sewage,Low,2024-12-22 14:52:03,Resolved
CF-150123,"dirty water, near railway station",Water Supply,High,2025-05-22 10:29:37,Resolved
CF-150124,"emergency supply, in neighborhood",Water Supply,High,2024-11-27 04:13:14,In Progress
CF-150125,"choked drain, near park",Waste-Water/Sewage,High,2024-07-11 18:52:32,In Progress
CF-150126,"cleaning schedule, near park",Waste-Water/Sewage,Low,2024-02-22 07:24:40,Resolved
CF-150127,"overflowing drain, near park",Waste-Water/Sewage,High,2025-05-11 04:25:15,Pending
CF-150128,"sewage backup, in old city",Waste-Water/Sewage,High,2025-07-19 14:51:16,Pending
CF-150129,"no power days, in apartment complex",Electricity,High,2024-06-06 18:08:43,Resolved
CF-150130,"supply timing, in colony",Water Supply,Low,2025-04-28 08:52:26,Resolved
CF-150131,"mosquito breeding, near school",Waste-Water/Sewage,High,2025-06-04 04:58:12,Pending
CF-150132,"pressure low, in gated community",Water Supply,Low,2024-09-30 00:05:36,Resolved
CF-150133,"collection frequency, in colony",Waste-Water/Sewage,Low,2024-06-01 16:15:29,Closed
CF-150134,"pressure low, near bus stand",Water Supply,Low,2025-04-11 11:42:56,Pending
CF-150135,"sewage stagnating, near bus stand, urgent attention required",Waste-Water/Sewage,High,2025-02-24 01:35:20,In Progress
CF-150136,"drainage cleaning, near bus stand",Waste-Water/Sewage,Low,2025-01-30 23:44:21,Pending
CF-150137,"contaminated water, in gated community",Water Supply,High,2024-12-05 03:39:14,In Progress
CF-150138,"meter reading, in slum area",Electricity,Low,2025-02-23 23:50:23,Pending
CF-150139,"payment issue, near railway station",Electricity,Low,2025-09-30 14:28:18,Closed
CF-150140,"payment not reflected, near bus stand",Electricity,Low,2024-11-20 22:49:15,Closed
CF-150141,"no water pump, in neighborhood, urgent attention required",Water Supply,High,2025-12-01 10:27:47,Pending
CF-150142,"rodent infestation, in apartment complex",Waste-Water/Sewage,High,2025-12-21 03:39:33,In Progress
CF-150143,"meter reading, in our locality",Electricity,Low,2024-11-28 02:02:35,Resolved
CF-150144,"supply timing, in slum area",Water Supply,Low,2024-09-07 19:20:21,Resolved
CF-150145,"sewage backup, in market area, urgent attention required",Waste-Water/Sewage,High,2025-01-26 22:33:46,Resolved
CF-150146,"low voltage, in slum area",Electricity,Low,2024-08-25 16:47:23,Closed
CF-150147,"leakage minor, in residential area",Water Supply,Low,2025-04-21 10:28:20,Closed
CF-150148,"manhole overflow, near park",Waste-Water/Sewage,High,2025-08-24 10:53:30,Resolved
CF-150149,"tanker request, in old city",Water Supply,Low,2024-07-22 14:00:22,Resolved
CF-150150,"power line touching tree, in commercial area",Electricity,High,2025-12-17 10:44:56,Pending
CF-150151,"street cleaning, in residential area",Waste-Water/Sewage,Low,2025-08-02 01:47:08,Closed
CF-150152,"collection frequency, in old city",Waste-Water/Sewage,Low,2024-08-23 22:06:09,Resolved
CF-150153,"dangerous transformer, in slum area",Electricity,High,2025-10-04 23:31:57,Pending
CF-150154,"water bill, in commercial area",Water Supply,Low,2024-05-14 03:16:53,Resolved
CF-150155,"meter installation, near school",Water Supply,Low,2024-05-15 19:38:21,Resolved
CF-150156,"collection frequency, in market area",Waste-Water/Sewage,Low,2024-09-20 17:32:36,Resolved
CF-150157,"bin repair, in apartment complex",Waste-Water/Sewage,Low,2025-04-24 02:44:29,Pending
CF-150158,"payment not reflected, in commercial area",Electricity,Low,2024-04-02 14:21:57,Pending
CF-150159,"emergency supply, in commercial area",Water Supply,High,2025-11-19 09:32:42,Resolved
CF-150160,"new connection, near hospital",Water Supply,Low,2025-04-27 00:54:40,Closed
CF-150161,"more bins, near hospital",Waste-Water/Sewage,Low,2025-10-25 02:18:05,Closed
CF-150162,"connection transfer, in industrial zone",Water Supply,Low,2024-04-29 05:05:20,Pending
CF-150163,"bill dispute, in apartment complex",Electricity,Low,2024-04-09 08:32:55,Closed
CF-150164,"tariff inquiry, in commercial area",Electricity,Low,2025-11-17 19:40:04,Resolved
CF-150165,"rodent infestation, in apartment complex",Waste-Water/Sewage,High,2025-09-22 14:51:32,In Progress
CF-150166,"flickering lights, near park",Electricity,Low,2025-03-31 08:35:47,Resolved
CF-150167,"payment not reflected, in commercial area",Electricity,Low,2024-03-03 14:29:44,Resolved
CF-150168,"no power days, in neighborhood",Electricity,High,2025-10-19 23:16:59,Resolved
CF-150169,"electric pole dangerous, near hospital",Electricity,High,2025-08-01 07:28:16,Pending
CF-150170,"sewage stagnating, near school",Waste-Water/Sewage,High,2024-08-26 11:57:44,Pending
CF-150171,"garbage not collected, in slum area",Waste-Water/Sewage,High,2025-07-07 09:07:33,Pending
CF-150172,"electric shock, in residential area",Electricity,High,2024-08-31 21:26:22,In Progress
CF-150173,"dangerous transformer, in our locality, urgent attention required",Electricity,High,2025-03-07 19:09:15,Pending
CF-150174,"garbage heap, near park",Waste-Water/Sewage,High,2025-06-09 21:36:52,Pending
CF-150175,"no water pump, in our locality",Water Supply,High,2025-11-05 18:59:07,In Progress
CF-150176,"water shortage, in colony",Water Supply,High,2025-03-12 03:55:50,In Progress
CF-150177,"bin replacement, in neighborhood",Waste-Water/Sewage,Low,2024-11-25 22:08:50,Pending
CF-150178,"power line down, near railway station",Electricity,High,2025-09-03 19:19:01,In Progress
CF-150179,"new connection, in apartment complex",Water Supply,Low,2025-11-01 23:41:56,Closed
CF-150180,"rodent infestation, near park",Waste-Water/Sewage,High,2025-02-27 12:20:24,In Progress
CF-150181,"pressure issue, in apartment complex",Water Supply,Low,2024-11-16 15:32:16,Resolved
CF-150182,"bin location, in slum area",Waste-Water/Sewage,Low,2025-12-04 17:16:03,Pending
CF-150183,"transformer failure, in industrial zone, urgent attention required",Electricity,High,2025-01-16 04:44:14,Resolved
CF-150184,"name transfer, in industrial zone",Electricity,Low,2024-12-28 15:23:55,Closed
CF-150185,"power fluctuation, in old city",Electricity,Low,2024-12-26 03:46:19,Closed
CF-150186,"health hazard, in colony, urgent attention required",Waste-Water/Sewage,High,2024-04-20 12:44:50,Resolved
CF-150187,"water logging, near temple",Water Supply,High,2025-03-15 20:25:26,Resolved
CF-150188,"overflowing gutter, near temple, urgent attention required",Waste-Water/Sewage,High,2024-10-06 11:14:59,In Progress
CF-150189,"dirty water, in slum area",Water Supply,High,2025-02-14 02:32:00,Pending
CF-150190,"manhole overflow, in gated community, urgent attention required",Waste-Water/Sewage,High,2025-03-05 16:31:00,In Progress
CF-150191,"connection shift, near railway station",Electricity,Low,2025-08-04 21:42:28,Pending
CF-150192,"dangerous pole, in our locality",Electricity,High,2024-10-05 16:07:59,Resolved
CF-150193,"name change, near park",Water Supply,Low,2025-02-28 09:56:44,Pending
CF-150194,"bad smell, in industrial zone, urgent attention required",Waste-Water/Sewage,High,2025-11-25 21:35:43,In Progress
CF-150195,"garbage collection, near hospital",Waste-Water/Sewage,Low,2025-02-08 21:49:14,Pending
CF-150196,"complete failure, near school",Electricity,High,2024-09-18 10:32:18,In Progress
CF-150197,"repeated power cuts, in industrial zone, urgent attention required",Electricity,High,2025-01-24 19:23:26,Resolved
CF-150198,"new connection, near bus stand",Electricity,Low,2024-02-13 15:52:56,Pending
CF-150199,"no water days, in industrial zone",Water Supply,High,2025-12-27 23:18:24,In Progress
CF-150200,"severe shortage, in residential area",Water Supply,High,2024-06-24 22:30:18,In Progress
CF-150201,"bin replacement, in industrial zone",Waste-Water/Sewage,Low,2024-04-18 08:51:31,Resolved
CF-150202,"waste segregation, in neighborhood",Waste-Water/Sewage,Low,2025-02-09 11:17:48,Closed
CF-150203,"no water days, in market area, urgent attention required",Water Supply,High,2025-10-10 04:09:05,Resolved
CF-150204,"bad smell, in commercial area",Waste-Water/Sewage,High,2025-10-22 05:22:38,Pending
CF-150205,"dangerous transformer, near school, urgent attention required",Electricity,High,2024-06-05 23:51:58,Pending
CF-150206,"tariff inquiry, near park",Electricity,Low,2025-11-28 20:33:09,Closed
CF-150207,"collection frequency, near railway station",Waste-Water/Sewage,Low,2024-06-03 16:00:40,Pending
CF-150208,"connection transfer, in old city",Water Supply,Low,2024-10-08 21:31:58,Pending
CF-150209,"drinking water unsafe, near park",Water Supply,High,2024-02-28 13:25:31,In Progress
CF-150210,"power line touching tree, near park",Electricity,High,2024-02-12 16:22:27,Resolved
CF-150211,"sewage leak, in colony",Waste-Water/Sewage,High,2024-03-04 16:24:10,Pending
CF-150212,"disease causing, in market area, urgent attention required",Water Supply,High,2025-12-25 15:56:17,In Progress
CF-150213,"bad smell, in commercial area",Waste-Water/Sewage,High,2025-01-31 14:52:58,In Progress
CF-150214,"sewage leak, in neighborhood",Waste-Water/Sewage,High,2025-07-25 14:04:27,In Progress
CF-150215,"no water days, in neighborhood",Water Supply,High,2024-05-24 12:44:11,In Progress
CF-150216,"collection timing, in neighborhood",Waste-Water/Sewage,Low,2024-11-13 20:20:59,Resolved
CF-150217,"collection frequency, in slum area",Waste-Water/Sewage,Low,2025-11-17 19:09:55,Pending
CF-150218,"waste segregation, in commercial area",Waste-Water/Sewage,Low,2024-01-19 13:12:06,Resolved
CF-150219,"electric pole dangerous, in colony, urgent attention required",Electricity,High,2024-05-20 05:38:28,Pending
CF-150220,"disease causing, in gated community, urgent attention required",Water Supply,High,2024-12-10 22:30:06,Pending
CF-150221,"collection timing, in market area",Waste-Water/Sewage,Low,2024-07-04 22:44:45,Pending
CF-150222,"garbage collection, in industrial zone",Waste-Water/Sewage,Low,2025-01-08 08:38:53,Resolved
CF-150223,"bin repair, near park",Waste-Water/Sewage,Low,2024-08-27 19:26:33,Pending
CF-150224,"tariff inquiry, near school",Water Supply,Low,2025-01-11 20:46:06,Resolved
CF-150225,"meter reading, near bus stand",Water Supply,Low,2025-05-29 19:12:15,Resolved
CF-150226,"electric shock, near temple, urgent attention required",Electricity,High,2025-05-07 13:30:55,Resolved
CF-150227,"short circuit, in neighborhood",Electricity,High,2024-10-06 16:21:33,Resolved
CF-150228,"new connection, near hospital",Electricity,Low,2025-04-06 12:43:40,Pending
CF-150229,"severe shortage, in gated community",Water Supply,High,2025-01-30 02:58:16,In Progress
CF-150230,"power cut emergency, in apartment complex",Electricity,High,2025-10-27 12:12:27,Pending
CF-150231,"short circuit, in colony",Electricity,High,2024-05-22 17:04:47,In Progress
CF-150232,"manhole overflow, in residential area, urgent attention required",Waste-Water/Sewage,High,2024-06-02 19:58:52,Resolved
CF-150233,"bin replacement, in old city",Waste-Water/Sewage,Low,2024-08-31 10:57:52,Pending
CF-150234,"transformer burnt, near park, urgent attention required",Electricity,High,2025-05-26 21:43:35,Resolved
CF-150235,"fire hazard, in old city",Electricity,High,2025-09-21 12:50:44,Pending
CF-150236,"collection timing, in neighborhood",Waste-Water/Sewage,Low,2025-06-20 13:07:45,Pending
CF-150237,"mosquito breeding, in colony, urgent attention required",Waste-Water/Sewage,High,2025-01-31 13:35:29,In Progress
CF-150238,"bad smell, in neighborhood",Waste-Water/Sewage,High,2025-11-03 22:52:26,Pending
CF-150239,"collection timing, in our locality",Waste-Water/Sewage,Low,2024-12-26 19:52:47,Resolved
CF-150240,"disease risk, in colony",Waste-Water/Sewage,High,2024-05-18 02:17:50,Resolved
CF-150241,"drinking water unsafe, near school, urgent attention required",Water Supply,High,2024-07-23 01:31:32,In Progress
CF-150242,"quality test, in colony",Water Supply,Low,2024-09-16 01:19:59,Closed
CF-150243,"generator needed, in our locality",Electricity,Low,2025-11-02 12:05:06,Resolved
CF-150244,"solar setup, near bus stand",Electricity,Low,2025-03-26 14:04:38,Resolved
CF-150245,"bill dispute, in commercial area",Electricity,Low,2025-06-15 09:42:39,Pending
CF-150246,"bin replacement, in industrial zone",Waste-Water/Sewage,Low,2025-09-08 06:34:12,Closed
CF-150247,"new connection, in neighborhood",Water Supply,Low,2024-12-01 10:45:50,Resolved
CF-150248,"meter installation, near park",Water Supply,Low,2024-12-25 16:16:46,Pending
CF-150249,"awareness needed, in industrial zone",Waste-Water/Sewage,Low,2024-10-08 23:16:56,Pending
CF-150250,"generator needed, in gated community",Electricity,Low,2025-11-26 05:49:29,Pending
CF-150251,"bill correction, in slum area",Electricity,Low,2024-03-09 08:35:32,Closed
CF-150252,"supply timing, in our locality",Water Supply,Low,2025-09-11 05:35:11,Closed
CF-150253,"pressure low, near park",Water Supply,Low,2024-03-19 20:53:45,Pending
CF-150254,"collection missed, near railway station",Waste-Water/Sewage,Low,2025-10-27 10:08:48,Pending
CF-150255,"live wire, in colony",Electricity,High,2025-07-29 04:17:15,In Progress
CF-150256,"pipeline repair, in old city",Water Supply,Low,2025-12-11 17:53:02,Pending
CF-150257,"voltage fluctuation, near park, urgent attention required",Electricity,High,2025-12-31 16:12:21,Pending
CF-150258,"cleaning schedule, in commercial area",Waste-Water/Sewage,Low,2025-12-27 02:21:51,Closed
CF-150259,"more bins, in old city",Waste-Water/Sewage,Low,2024-06-10 23:13:04,Pending
CF-150260,"leaking main, near school",Water Supply,High,2024-08-30 17:59:12,Pending
CF-150261,"tanker request, in slum area",Water Supply,Low,2025-09-18 03:08:20,Pending
CF-150262,"pressure issue, in colony",Water Supply,Low,2025-06-22 14:57:23,Resolved
CF-150263,"health hazard, near railway station",Waste-Water/Sewage,High,2025-04-05 16:57:37,Resolved
CF-150264,"collection timing, in market area",Waste-Water/Sewage,Low,2024-05-12 15:45:04,Closed
CF-150265,"fire hazard, in old city, urgent attention required",Electricity,High,2024-11-26 08:12:32,In Progress
CF-150266,"collection frequency, in neighborhood",Waste-Water/Sewage,Low,2024-09-13 07:08:49,Closed
CF-150267,"collection timing, in old city",Waste-Water/Sewage,Low,2025-09-21 19:25:24,Pending
CF-150268,"sewage stagnating, in slum area, urgent attention required",Waste-Water/Sewage,High,2025-10-01 22:01:56,In Progress
CF-150269,"drainage blocked, in neighborhood, urgent attention required",Waste-Water/Sewage,High,2025-10-18 20:59:58,In Progress
CF-150270,"sewage stagnating, in industrial zone",Waste-Water/Sewage,High,2024-02-01 18:07:58,Resolved
CF-150271,"cleaning schedule, in old city",Waste-Water/Sewage,Low,2025-05-09 08:54:56,Closed
CF-150272,"tanker request, in neighborhood",Water Supply,Low,2025-12-06 02:10:52,Pending
CF-150273,"tanker request, near park",Water Supply,Low,2024-07-27 12:23:09,Closed
CF-150274,"power backup, in commercial area",Electricity,Low,2025-02-12 04:45:39,Resolved
CF-150275,"sewage leak, near hospital",Waste-Water/Sewage,High,2024-09-30 16:22:09,Pending
CF-150276,"complete darkness, in old city",Electricity,High,2025-09-22 15:13:25,Pending
CF-150277,"low voltage, near railway station",Electricity,Low,2024-07-13 05:48:05,Resolved
CF-150278,"recycling bin, in old city",Waste-Water/Sewage,Low,2025-05-24 00:50:37,Pending
CF-150279,"pipeline repair, near school",Water Supply,Low,2025-08-20 12:50:54,Pending
CF-150280,"bill dispute, in colony",Electricity,Low,2024-10-19 19:32:25,Pending
CF-150281,"load enhancement, near temple",Electricity,Low,2025-01-09 14:40:55,Resolved
CF-150282,"bill correction, near school",Electricity,Low,2025-01-06 20:08:32,Resolved
CF-150283,"duplicate bill, near park",Electricity,Low,2025-07-17 10:11:03,Closed
CF-150284,"health hazard, in apartment complex",Waste-Water/Sewage,High,2024-12-13 20:18:36,In Progress
CF-150285,"electrical danger, in gated community, urgent attention required",Electricity,High,2024-02-09 04:59:21,Resolved
CF-150286,"bill correction, near park",Water Supply,Low,2024-06-01 22:04:23,Closed
CF-150287,"power fluctuation, near railway station",Electricity,Low,2024-06-15 14:18:25,Closed
CF-150288,"awareness needed, near railway station",Waste-Water/Sewage,Low,2025-06-03 18:33:29,Closed
CF-150289,"tanker request, in residential area",Water Supply,Low,2025-01-12 12:03:36,Closed
CF-150290,"low voltage, in old city",Electricity,Low,2025-12-05 22:54:38,Pending
CF-150291,"street cleaning, near hospital",Waste-Water/Sewage,Low,2024-02-22 21:14:43,Resolved
CF-150292,"load enhancement, near hospital",Electricity,Low,2024-02-02 20:50:47,Closed
CF-150293,"no electricity, near park",Electricity,High,2024-06-04 15:02:07,Resolved
CF-150294,"duplicate bill, in colony",Electricity,Low,2024-03-04 05:01:38,Closed
CF-150295,"bill dispute, in gated community",Electricity,Low,2025-01-20 11:25:24,Pending
CF-150296,"bill correction, in commercial area",Water Supply,Low,2025-11-23 23:25:19,Closed
CF-150297,"pipeline repair, near hospital",Water Supply,Low,2024-10-12 20:19:09,Resolved
CF-150298,"connection shift, near school",Electricity,Low,2025-12-07 17:48:14,Resolved
